DRUID,SPID,AccountID,SerialNumber,CustomerFirstName,CustomerLastName,CustomerFullName,PremiseAddress,PremiseCity,PremiseState,PremiseZip,FullAddress,EnrollmentStatus,EnrollmentDate,DeviceType,MACAddress,DeviceStatus,DeviceInstallDate
4935330017,5206782056,7650489395,6653496258,Nicole,Roy,Nicole Roy,32 Pleasant Ave.,Garden Gove,CA,92840,"32 Pleasant Ave. , Garden Gove , CA , 92840",Unenrolled,6/29/2020,A,8984610523,Disconnected,6/29/2020
9599815395,9529007333,4921786268,763845180,Mario,Curtis,Mario Curtis,9806 Greenview Street,Santa Ana,CA,92703,"9806 Greenview Street , Santa Ana , CA , 92703",Unenrolled,11/2/2020,A,1319264931,Disconnected,11/2/2020
3627772832,1570078830,6291598417,7885091743,Jackie,Evans,Jackie Evans,669 Pendergast St.,Santa Ana,CA,92703,"669 Pendergast St. , Santa Ana , CA , 92703",Enrolled,3/1/2021,A,3151637716,Disconnected,3/1/2021
7335417053,9434485402,8031561078,9315954549,Reese,Witherspoon,Reese Witherspoon,43 Philmont Street,Oakland,CA,94601,"43 Philmont Street , Oakland , CA , 94601",Pending,4/2/2021,A,3412512979,Connected,4/2/2021
1936338589,7324605070,8734524854,6186275732,Reese,Withoutherspoon,Reese Withoutherspoon,1886 Hunt Ave.,Oakland,CA,94601,"1886 Hunt Ave. , Oakland , CA , 94601",Pending,4/30/2021,A,640475587,Disconnected,4/30/2021
4511343034,9174399670,1336020073,7370557056,Meghan,Markle,Meghan Markle,9129 Ann Rd.,Los Angeles,CA,90026,"9129 Ann Rd. , Los Angeles , CA , 90026",Enrolled,5/27/2021,A,9045759803,Connected,5/27/2021
8680258533,9650606528,1820406571,9552002592,Matthew,Koma,Matthew Koma,25 Glen Ridge Dr.,Los Angeles,CA,90015,"25 Glen Ridge Dr. , Los Angeles , CA , 90015",Error,7/11/2021,B,3735583695,Disconnected,7/11/2021
3905709371,1591784719,4992762878,384615538,Emma,Stone,Emma Stone,501 Warren Ave.,Los Angeles,CA,90019,"501 Warren Ave. , Los Angeles , CA , 90019",Enrolled,9/29/2021,B,6763178354,Disconnected,9/29/2021
2265373482,5556925627,3093149826,6790644692,Miley,Cyrus,Miley Cyrus,8182 Ramblewood Lane,Chino,CA,91710,"8182 Ramblewood Lane , Chino , CA , 91710",Unenrolled,10/2/2021,A,1762592017,Disconnected,10/2/2021
311889327,700433481,2612768706,615759710,Peter,Pan,Peter Pan,795 Bishop Ave.,San Pablo,CA,94806,"795 Bishop Ave. , San Pablo , CA , 94806",Enrolled,12/17/2021,B,5403815156,Disconnected,12/17/2021
2692091865,2156973128,630086555,4177537610,Brad,Pitt,Brad Pitt,8831 Westminster,Bakersfield,CA,93307,"8831 Westminster , Bakersfield , CA , 93307",Enrolled,12/26/2021,B,2044654950,Connected,12/26/2021
6411631439,2874096651,4600732697,8832260402,Selena,Gomez,Selena Gomez,9 Elm Drive,Garden Gove,CA,92840,"9 Elm Drive , Garden Gove , CA , 92840",Enrolled,3/30/2022,B,7035100421,Disconnected,3/30/2022
416972788,6622967680,6454360756,1869910471,Justin,Bieber,Justin Bieber,902 Elm Drive,Santa Ana,CA,92703,"902 Elm Drive , Santa Ana , CA , 92703",Enrolled,7/9/2022,B,7257280170,Disconnected,7/9/2022
2446860101,3845365745,2233788949,4598705283,Audrey,Hepburn,Audrey Hepburn,85 St Paul Ave.,Santa Ana,CA,92703,"85 St Paul Ave. , Santa Ana , CA , 92703",Enrolled,11/19/2022,A,7149895546,Disconnected,11/19/2022
3466912367,6515099005,8492541845,7631308526,Cary,Grant,Cary Grant,7331 Greenhouse St.,Oakland,CA,94601,"7331 Greenhouse St. , Oakland , CA , 94601",Enrolled,12/25/2022,A,7309510644,Disconnected,12/25/2022
9436289852,273535146,7085852003,8657918169,Marilyn,Monroe,Marilyn Monroe,10 Gainsway,Oakland,CA,94601,"10 Gainsway , Oakland , CA , 94601",Enrolled,2/2/2023,B,4234743383,Connected,2/2/2023
1633012817,2636601157,5768134825,2396321742,Tina,Fey,Tina Fey,774 North Mayfair Road,San Francisco,CA,94109,"774 North Mayfair Road , San Francisco , CA , 94109",Enrolled,2/28/2023,B,1396976908,Connected,2/28/2023
2284297687,77841030,749657769,8200471291,Vin,Diesel,Vin Diesel,63 N. Hillcrest Rd.,San Francisco,CA,94109,"63 N. Hillcrest Rd. , San Francisco , CA , 94109",Enrolled,8/10/2023,A,1751405332,Connected,8/10/2023
7406744066,6728989265,2893869893,4365012956,Whoopi,Goldberg,Whoopi Goldberg,223 Bear Hill,San Francisco,CA,94109,"223 Bear Hill , San Francisco , CA , 94109",Enrolled,8/18/2023,B,4746270228,Connected,8/18/2023
8119764342,303820057,5819510199,3862092467,Fred,Astaire,Fred Astaire,20 Alderwood Dr.,Chino Hills,CA,91709,"20 Alderwood Dr. , Chino Hills , CA , 91709",Unenrolled,9/29/2023,B,9317602043,Connected,9/29/2023
192585172,3398740309,9139483093,3228975012,Jackie,Chan,Jackie Chan,4 Carpenter St.,Long Beach,CA,90813,"4 Carpenter St. , Long Beach , CA , 90813",Unenrolled,10/6/2023,B,4352090348,Connected,10/6/2023
2369647771,3967720510,4599303110,7100213863,Stephen,Curry,Stephen Curry,456 Taylor Street,Reseda,CA,91335,"456 Taylor Street , Reseda , CA , 91335",Unenrolled,1/14/2024,B,4049139125,Connected,1/14/2024
5005052417,2428303927,9297885886,4926170800,Klay,Thompson,Klay Thompson,8279 Dodger Way,Los Angeles,CA,90066,"8279 Dodger Way , Los Angeles , CA , 90066",Pending,2/8/2024,A,9679397127,Disconnected,2/8/2024
2414690819,92114387,3470697725,9255718704,Kevin,Durant,Kevin Durant,51 Warriors Win,San Francisco,CA,94109,"51 Warriors Win , San Francisco , CA , 94109",Enrolled,4/5/2024,B,4480827865,Disconnected,4/5/2024
